FLIGHT_ID,trajectory_array
264868001,"[('TAXI_OUT', '01.09.2023 00:24', '01.09.2023 00:34'), ('KZNYFIR', '01.09.2023 00:34', '01.09.2023 00:43'), ('KZBWFIR', '01.09.2023 00:43', '01.09.2023 00:45'), ('KZBWUIR', '01.09.2023 00:45', '01.09.2023 01:21'), ('CZQMFIR', '01.09.2023 01:21', '01.09.2023 02:02'), ('CZQXFIR', '01.09.2023 02:02', '01.09.2023 04:05'), ('EGGXFIR', '01.09.2023 04:05', '01.09.2023 05:10'), ('EISNUIR', '01.09.2023 05:10', '01.09.2023 05:49'), ('EGTTUIR', '01.09.2023 05:49', '01.09.2023 06:02'), ('EGTTFIR', '01.09.2023 06:02', '01.09.2023 06:28'), ('TAXI_IN', '01.09.2023 06:28', '01.09.2023 06:38')]"
264868002,"[('TAXI_OUT', '01.09.2023 00:57', '01.09.2023 01:07'), ('KZNYFIR', '01.09.2023 01:07', '01.09.2023 01:15'), ('KZBWFIR', '01.09.2023 01:15', '01.09.2023 01:16'), ('KZBWUIR', '01.09.2023 01:16', '01.09.2023 02:01'), ('CZQMFIR', '01.09.2023 02:01', '01.09.2023 02:31'), ('CZULFIR', '01.09.2023 02:31', '01.09.2023 03:07'), ('CZQXFIR', '01.09.2023 03:07', '01.09.2023 04:17'), ('BGGLFIR', '01.09.2023 04:17', '01.09.2023 04:20'), ('CZQXFIR', '01.09.2023 04:20', '01.09.2023 04:55'), ('BIRDFIR', '01.09.2023 04:55', '01.09.2023 06:46'), ('ENOBFIR', '01.09.2023 06:46', '01.09.2023 07:23'), ('ENORFIR', '01.09.2023 07:23', '01.09.2023 07:57'), ('TAXI_IN', '01.09.2023 07:57', '01.09.2023 08:07')]"
264868003,"[('TAXI_OUT', '01.09.2023 00:28', '01.09.2023 00:38'), ('KZNYFIR', '01.09.2023 00:38', '01.09.2023 00:46'), ('KZBWFIR', '01.09.2023 00:46', '01.09.2023 00:50'), ('KZBWUIR', '01.09.2023 00:50', '01.09.2023 01:28'), ('CZQMFIR', '01.09.2023 01:28', '01.09.2023 02:07'), ('CZQXFIR', '01.09.2023 02:07', '01.09.2023 04:16'), ('EGGXFIR', '01.09.2023 04:16', '01.09.2023 06:00'), ('EGTTUIR', '01.09.2023 06:00', '01.09.2023 06:03'), ('LFFFUIR', '01.09.2023 06:03', '01.09.2023 07:17'), ('LIMMUIR', '01.09.2023 07:17', '01.09.2023 07:42'), ('LIRRUIR', '01.09.2023 07:42', '01.09.2023 07:54'), ('LIBBUIR', '01.09.2023 07:54', '01.09.2023 08:30'), ('LAAAFIR', '01.09.2023 08:30', '01.09.2023 08:47'), ('TAXI_IN', '01.09.2023 08:47', '01.09.2023 08:57')]"
264868004,"[('TAXI_OUT', '01.09.2023 00:55', '01.09.2023 01:11'), ('LTBBFIR', '01.09.2023 01:11', '01.09.2023 01:35'), ('LTAAFIR', '01.09.2023 01:35', '01.09.2023 02:53'), ('ORBBFIR', '01.09.2023 02:53', '01.09.2023 03:36'), ('TAXI_IN', '01.09.2023 03:36', '01.09.2023 03:46')]"
264868005,"[('TAXI_OUT', '31.08.2023 23:39', '31.08.2023 23:59'), ('KZDCFIR', '31.08.2023 23:59', '01.09.2023 00:07'), ('KZDCUIR', '01.09.2023 00:07', '01.09.2023 00:19'), ('KZNYUIR', '01.09.2023 00:19', '01.09.2023 00:26'), ('KZBWUIR', '01.09.2023 00:26', '01.09.2023 00:59'), ('KZWYFIR', '01.09.2023 00:59', '01.09.2023 01:08'), ('CZQMFIR', '01.09.2023 01:08', '01.09.2023 01:55'), ('CZQXFIR', '01.09.2023 01:55', '01.09.2023 04:02'), ('EGGXFIR', '01.09.2023 04:02', '01.09.2023 05:34'), ('LECMUIR', '01.09.2023 05:34', '01.09.2023 06:46'), ('LECBUIR', '01.09.2023 06:46', '01.09.2023 07:17'), ('LFFFUIR', '01.09.2023 07:17', '01.09.2023 07:36'), ('LIRRUIR', '01.09.2023 07:36', '01.09.2023 08:01'), ('LIRRFIR', '01.09.2023 08:01', '01.09.2023 08:16'), ('TAXI_IN', '01.09.2023 08:16', '01.09.2023 08:26')]"
264868006,"[('TAXI_OUT', '01.09.2023 00:44', '01.09.2023 00:54'), ('KZJXFIR', '01.09.2023 00:54', '01.09.2023 00:54'), ('KZMAFIR', '01.09.2023 00:54', '01.09.2023 00:56'), ('KZJXFIR', '01.09.2023 00:56', '01.09.2023 01:05'), ('KZJXUIR', '01.09.2023 01:05', '01.09.2023 01:46'), ('KZDCUIR', '01.09.2023 01:46', '01.09.2023 02:30'), ('KZBWUIR', '01.09.2023 02:30', '01.09.2023 03:09'), ('CZQMFIR', '01.09.2023 03:09', '01.09.2023 03:48'), ('CZQXFIR', '01.09.2023 03:48', '01.09.2023 05:49'), ('EGGXFIR', '01.09.2023 05:49', '01.09.2023 06:51'), ('EISNUIR', '01.09.2023 06:51', '01.09.2023 07:29'), ('EGTTUIR', '01.09.2023 07:29', '01.09.2023 07:49'), ('EGTTFIR', '01.09.2023 07:49', '01.09.2023 08:12'), ('TAXI_IN', '01.09.2023 08:12', '01.09.2023 08:22')]"
264868008,"[('TAXI_OUT', '31.08.2023 23:38', '31.08.2023 23:58'), ('HECCFIR', '31.08.2023 23:58', '01.09.2023 01:08'), ('LGGGUIR', '01.09.2023 01:08', '01.09.2023 02:17'), ('LBSRFIR', '01.09.2023 02:17', '01.09.2023 02:37'), ('LRBBFIR', '01.09.2023 02:37', '01.09.2023 03:07'), ('LHCCFIR', '01.09.2023 03:07', '01.09.2023 03:18'), ('LZBBFIR', '01.09.2023 03:18', '01.09.2023 03:25'), ('EPWWFIR', '01.09.2023 03:25', '01.09.2023 04:02'), ('EYVLUIR', '01.09.2023 04:02', '01.09.2023 04:19'), ('EVRRFIR', '01.09.2023 04:19', '01.09.2023 04:31'), ('ULLLFIR', '01.09.2023 04:31', '01.09.2023 04:44'), ('UUWVFIR', '01.09.2023 04:44', '01.09.2023 05:18'), ('TAXI_IN', '01.09.2023 05:18', '01.09.2023 05:28')]"
264868009,"[('TAXI_OUT', '01.09.2023 00:16', '01.09.2023 00:26'), ('EDMMFIR', '01.09.2023 00:26', '01.09.2023 00:28'), ('EDGGFIR', '01.09.2023 00:28', '01.09.2023 00:28'), ('EDMMFIR', '01.09.2023 00:28', '01.09.2023 00:37'), ('EDUUUIR', '01.09.2023 00:37', '01.09.2023 00:47'), ('LOVVFIR', '01.09.2023 00:47', '01.09.2023 01:04'), ('LHCCFIR', '01.09.2023 01:04', '01.09.2023 01:20'), ('LYBAUIR', '01.09.2023 01:20', '01.09.2023 01:52'), ('LBSRFIR', '01.09.2023 01:52', '01.09.2023 02:07'), ('LGGGUIR', '01.09.2023 02:07', '01.09.2023 02:18'), ('LTBBFIR', '01.09.2023 02:18', '01.09.2023 02:52'), ('LTAAFIR', '01.09.2023 02:52', '01.09.2023 03:11'), ('TAXI_IN', '01.09.2023 03:11', '01.09.2023 03:21')]"
264868011,"[('TAXI_OUT', '31.08.2023 23:59', '01.09.2023 00:24'), ('KZDCFIR', '01.09.2023 00:24', '01.09.2023 00:26'), ('KZNYFIR', '01.09.2023 00:26', '01.09.2023 00:29'), ('KZDCUIR', '01.09.2023 00:29', '01.09.2023 00:30'), ('KZNYUIR', '01.09.2023 00:30', '01.09.2023 00:42'), ('KZBWUIR', '01.09.2023 00:42', '01.09.2023 01:19'), ('CZQMFIR', '01.09.2023 01:19', '01.09.2023 01:53'), ('CZQXFIR', '01.09.2023 01:53', '01.09.2023 03:54'), ('EGGXFIR', '01.09.2023 03:54', '01.09.2023 04:55'), ('EISNUIR', '01.09.2023 04:55', '01.09.2023 05:35'), ('EGTTUIR', '01.09.2023 05:35', '01.09.2023 05:55'), ('EGTTFIR', '01.09.2023 05:55', '01.09.2023 06:24'), ('TAXI_IN', '01.09.2023 06:24', '01.09.2023 06:34')]"
264868012,"[('TAXI_OUT', '01.09.2023 00:10', '01.09.2023 00:27'), ('LWSSFIR', '01.09.2023 00:27', '01.09.2023 00:38'), ('LGGGUIR', '01.09.2023 00:38', '01.09.2023 01:05'), ('LTBBFIR', '01.09.2023 01:05', '01.09.2023 01:30'), ('LTAAFIR', '01.09.2023 01:30', '01.09.2023 01:50'), ('TAXI_IN', '01.09.2023 01:50', '01.09.2023 02:00')]"
264868013,"[('TAXI_OUT', '31.08.2023 23:53', '01.09.2023 00:03'), ('LIRRFIR', '01.09.2023 00:03', '01.09.2023 00:08'), ('LFMMFIR', '01.09.2023 00:08', '01.09.2023 00:11'), ('LFFFUIR', '01.09.2023 00:11', '01.09.2023 00:31'), ('LECBUIR', '01.09.2023 00:31', '01.09.2023 01:09'), ('LECMUIR', '01.09.2023 01:09', '01.09.2023 01:20'), ('LECMFIR', '01.09.2023 01:20', '01.09.2023 01:34'), ('TAXI_IN', '01.09.2023 01:34', '01.09.2023 01:44')]"
